personID,textID,interest,complexity,comprehension,familiarity
22,322,4.00,4.50,4.67,4.25
22,11299,2.00,2.50,5.00,4.00
22,3775,5.00,3.00,5.00,4.00
23,4094,5.33,2.50,6.67,4.50
23,3775,4.67,3.00,5.67,4.25
23,11299,3.00,1.00,6.33,5.50
23,2725,6.67,1.50,7.00,4.50
23,6366,6.33,2.50,6.33,4.25
23,13165,6.33,2.50,6.67,4.25
23,9977,4.33,3.00,5.33,5.00
23,7784,6.33,4.00,4.00,4.00
23,11143,6.67,2.50,6.33,5.50
23,3819,6.67,4.00,5.33,4.50
23,6474,5.67,2.00,6.67,5.75
23,6046,6.33,1.00,7.00,6.25
23,4584,4.67,3.00,4.00,2.00
23,5938,5.67,2.00,6.67,2.75
23,10879,4.33,3.00,5.67,2.00
23,4701,5.67,1.00,7.00,3.50
23,322,5.33,2.00,6.67,3.75
23,4504,7.00,2.00,6.33,3.50
24,6046,3.33,3.00,4.67,1.75
24,2725,4.33,2.00,6.00,3.50
24,4701,1.67,5.00,3.00,4.00
24,9977,5.00,5.00,5.00,4.00
24,10879,4.33,4.50,4.67,3.50
24,6474,5.00,5.50,4.67,4.00
24,6366,5.00,6.00,4.67,4.75
24,322,3.67,3.50,5.33,4.75
24,3819,6.00,4.50,5.00,5.25
24,4094,5.67,3.00,5.67,5.75
24,4584,6.00,2.50,5.33,6.00
24,11299,3.67,5.00,4.33,5.50
24,3775,4.67,4.50,2.67,4.00
24,11143,5.33,4.00,4.67,4.75
24,5938,5.33,2.50,5.67,4.75
24,13165,5.00,3.50,5.33,3.75
24,7784,3.00,5.50,4.67,3.75
